userName,content,score,at,label,label_num
UCIL OLOL LEHO [UOL],"['indosat', 'tuyul', 'pulsa', 'kurang', 'tidak', 'paket', 'data', 'seluler', 'mati', 'indosat', 'pelihara', 'tuyul']",1,2024-02-02 05:17:07,negatif,0
Xeraphine,"['sistem', 'login', 'nomor', 'utama', 'nomor', 'sekunder', 'aplikasi', 'hapus', 'bikin', 'ribet', 'bikin', 'repot', 'cek', 'pulsa', 'kuota', 'nomor', 'a', 'nomor', 'b', 'lebih', 'oke']",3,2024-02-02 05:13:29,negatif,0
mang pecu,"['layan', 'bayar', 'bulan', 'iseng', 'isi', 'pulsa', 'perlu', 'tambah', 'paket', 'pulsa', 'tidak', 'aplikasi']",1,2024-02-02 04:45:17,negatif,0
Adelia Raidha,"['im', 'jaringannyaa', 'jelek', 'banget', 'percumaa', 'mode', 'pesawat', 'restart', 'tetep', 'tidak', 'sinyalnyamana', 'pulsa', 'suka', 'hilang', 'gadipake', 'data', 'mati']",1,2024-02-02 04:40:51,negatif,0
Hayato Hayato,"['sinyal', 'jelek', 'rugi', 'make', 'm', 'paket', 'mahal', 'sinyal', 'busuk']",1,2024-02-02 04:39:42,negatif,0
Adit Ainur Rozikin,"['tidak', 'registrasi', 'isi', 'pulsa']",1,2024-02-02 04:38:39,negatif,0
Danuja Bagaskara,"['beli', 'internet', 'tidak', 'guna']",2,2024-02-02 04:15:29,negatif,0
Krisna Mukti,"['top', 'up', 'game', 'tidak']",1,2024-02-02 04:10:33,negatif,0
Egri Winda,"['kecewa', 'banget', 'kartu', 'beli', 'paket', 'gb', 'habis', 'kecewa', 'aplikasi']",1,2024-02-02 04:06:32,negatif,0
Yayuk Musarofah,"['aplikasi', 'g', 'benar', 'beli', 'kuota', 'padah', 'data', 'g', 'dinyalain', 'sedot', 'doang', 'pulsa', 'kuota', 'nya', 'g']",1,2024-02-02 03:36:11,negatif,0
Ahwan Setiawan,"['jelek', 'banget']",1,2024-02-02 03:34:28,negatif,0
Nauffal Abyan,"['gak', 'paket', 'kuota', 'darurat', 'kuota', 'darurat', 'gb', 'pakai', 'gb', 'gb', 'tidak', 'pakai', 'sih']",1,2024-02-02 03:27:53,negatif,0
Aldi Ardiansyah,"['semenjak', 'pakai', 'im', 'susah', 'banget', 'akses', 'internet', 'pakai', 'login', 'indosat', 'gak']",1,2024-02-02 03:07:24,negatif,0
Lisna Sari,"['unduh', 'pas', 'log', 'masuk', 'masuk', 'tidak', 'tidak', 'otp', 'nya', 'tidak', 'kirim', 'sms', 'nya']",2,2024-02-02 03:01:28,negatif,0
Ade Sistiawanto,"['tidak', 'login', 'otp', 'gak', 'masuk']",1,2024-02-02 02:34:28,negatif,0
Jojo Kiki,"['harga', 'nya', 'mahal', 'da', 'tidak', 'tukar', 'mpoint']",3,2024-02-02 02:33:36,negatif,0
Niyat insun,"['mahal', 'cumak', 'awal', 'murah', 'mahal', 'data', 'habis', 'daftar', 'paket', 'pulsa', 'hilang', 'saodaraku', 'suruh', 'pakai', 'im', 'mahal', 'pulsa', 'habis', 'ganti', 'kartu', 'aja']",1,2024-02-02 02:21:48,negatif,0
Adriansyach Aprilio,"['proses', 'nya', 'beda', 'pakai', 'kode', 'ussd']",1,2024-02-02 02:06:17,negatif,0
Wastam Ganteng,"['uuh', 'potong', 'mulu', 'males', 'pakai', 'kartu', 'indosat', 'telkomsel', 'tidak', 'potong']",1,2024-02-02 01:46:59,negatif,0
Msdalifah mw,"['wahh', 'harga', 'kouta', 'indosat', 'bener', 'luar', 'nulur', 'wkwkw', 'harga', 'kouta', 'turun']",3,2024-02-02 01:37:30,negatif,0
Ipul Epul,"['tidak', 'kartu', 'aplikasi', 'layan', 'tidak', 'niat', 'instaldownload', 'aplikasi', 'tidak', 'guna', 'layan', 'tidak', 'nyambung', 'aju', 'keluh', 'suruh', 'isi', 'tidak', 'kartu', 'nya', 'sedot', 'pulsa']",1,2024-02-02 01:33:59,negatif,0
Rotan Daveto Putra,"['indoset', 'babikkmentang', 'batas', 'habis', 'jaring', 'ilang anbngst', 'banget', 'alami', 'jadi', 'kaya', 'gin']",1,2024-02-02 01:27:29,negatif,0
Najib Maulan,"['paket', 'internet', 'kuota', 'indosat', 'mahalmahal', 'kesini', 'mahal']",1,2024-02-02 01:20:32,negatif,0
Langgeng21 Sinareng bagja,"['paketin', 'telepon', 'gagal', 'mulu', 'butuh', 'parah', 'banget', 'indosat', 'isi', 'pulsa', 'ambil', 'operator', 'pakai', 'indosat', 'ganti', 'kartu', 'gara', 'gara', 'indosat', 'potong', 'pulsa']",1,2024-02-02 01:14:31,negatif,0
Willy Yanhamisa,"['harga', 'paket', 'turun']",2,2024-02-02 01:03:24,negatif,0
Bil Holy,"['sedot', 'pulsa']",1,2024-02-02 01:00:16,negatif,0
Viky Lendeon,"['operator', 'buruk', 'inisusah', 'login', 'aplikasi', 'jaring', 'jelekpkoknya', 'buruk', 'indosat']",1,2024-02-02 00:12:13,negatif,0
ZR SEMAT Eno,"['paket', 'nya', 'mahal']",2,2024-02-02 00:04:23,negatif,0
Apri Yadi,"['pulsa', 'raib', 'make', 'pinjam', 'pulsa', 'isi', 'ulang', 'potong', 'sisa', 'hilang', 'sdang', 'kan', 'lapor', 'potong', 'pulsa', 'gak', 'jelasjdi', 'males', 'make', 'pinjem', 'pulsa', 'nya', 'tidak']",1,2024-02-01 23:58:15,negatif,0
budiyanto electronik,"['maaf', 'bintang', 'sinyal', 'jelek', 'daerah', 'bar', 'silang', 'x', 'malah', 'sinyal', 'bagus', 'rubah', 'ratingnya', 'terima', 'kasih']",1,2024-02-01 23:52:47,negatif,0
Mahendra Pratama,"['beri', 'harga', 'kuota', 'jahat', 'gb', 'masak', 'gb', 'strategi', 'bisnis', 'jahat']",1,2024-02-01 23:43:36,negatif,0
