userName,content,score,at,label
UCIL OLOL LEHO [UOL],"Kenapa Indosat ada tuyulnya sekarang pulsa tiba-tiba berkurang padahal saya tidak punya paket dan data seluler selalu mati,,, Apakah Indosat memelihara tuyul",1,2024-02-02 05:17:07,negatif
Pp.joaana,aplikasi ini sangat bagus,5,2024-02-02 05:16:51,positif
Xeraphine,"Tolong itu sistem login nomor utama dan nomor sekunder diaplikasi dihapuskan aja, cuma bikin ribet bikin repot ketika mau cek pulsa atau kuota antara nomor A dan nomor B. Selebihnya semua dah oke.",3,2024-02-02 05:13:29,negatif
Sugeng dian pamungkas,Sekarang pilihanya yg 30 hari naik terus harganya. Gak ada yg murah 🤦🤦,4,2024-02-02 05:13:07,positif
Bang Tinus,murah,5,2024-02-02 05:11:20,positif
Mela Diana,kadang lemot,4,2024-02-02 05:10:54,positif
Riskik Lina,gabdem,5,2024-02-02 05:02:42,positif
Herlan Ardiansyah,hebat,4,2024-02-02 04:50:32,positif
Bahar Maroi,Bagus,4,2024-02-02 04:47:15,positif
mang pecu,"Pelayanan bayar bulanan, iseng isi pulsa buat keperluan penambahan paket, jumlah pulsa tidak ada di aplikasi",1,2024-02-02 04:45:17,negatif
Adelia Raidha,"IM3 jaringannyaa jelek bangett, percumaa mode pesawat sama restart tetep ga ada sinyalnya,mana pulsa suka tiba tiba hilang padahal gadipake apa apa data juga off",1,2024-02-02 04:40:51,negatif
Hayato Hayato,Sinyal jelek rugi make m3 udah paket mahal sinyal busuk,1,2024-02-02 04:39:42,negatif
Adit Ainur Rozikin,Masa ga bisa registrasi padahal sudah isi pulsa 10k,1,2024-02-02 04:38:39,negatif
FF MIAW,👍,4,2024-02-02 04:34:25,positif
Intan Purnama sari,Kerenkeren,4,2024-02-02 04:32:55,positif
Kuderi Kud,hemat pulasnya,5,2024-02-02 04:32:33,positif
Uray Feriadi Feri,saya puas,4,2024-02-02 04:32:30,positif
Suroto Prayitno,sangat membantu,5,2024-02-02 04:25:52,positif
M Abud,bagus banget,5,2024-02-02 04:20:05,positif
Rian indra,bagus,5,2024-02-02 04:18:03,positif
Danuja Bagaskara,saya baru beli internet tapi tidak bisa digunakan.,2,2024-02-02 04:15:29,negatif
Agung Santoso,mylm3 .sangat memuaskan,5,2024-02-02 04:14:48,positif
Krisna Mukti,mau top up game tidak bisa,1,2024-02-02 04:10:33,negatif
SAYADISINIBUKANSAYA YOGYAKARTA AMAN,kalo bisa banyak penukaran koin yang dikit aja,5,2024-02-02 04:07:55,positif
Egri Winda,Kecewa bangat sama kartu ini baru beli paket 100 gb tiba tiba habis Kecewa sekali dengan aplikasi ini,1,2024-02-02 04:06:32,negatif
Elvan Syaqi,ksh 4 dulu,4,2024-02-02 04:06:06,positif
Alviyan Muntoha,baik sekali,5,2024-02-02 04:05:16,positif
iqbal fikri,bagus,5,2024-02-02 03:52:11,positif
D Star,"Nah sudah ada perbaikan, fitur semakin lengkap, gak error lg... semoga kedepan lebih baik 👍",5,2024-02-02 03:43:15,positif
Rizhal Prayoga,good,5,2024-02-02 03:41:24,positif
AKUN YouTube,suka sama IM3 cuma gara'' ada Impoin jadi serasa punya Kouta darurat,5,2024-02-02 03:36:19,positif
Yayuk Musarofah,Aplikasi g bener mau beli kuota padah data g dinyalain malah kesedot doang pulsanya kuota nya g nyampe,1,2024-02-02 03:36:11,negatif
Edo Erlangga,mantap,5,2024-02-02 03:36:08,positif
Ahwan Setiawan,jelek bgt,1,2024-02-02 03:34:28,negatif
Purnama Laluyan,sangat memuaskan,5,2024-02-02 03:33:59,positif
Risma 124,sangat baik,5,2024-02-02 03:33:31,positif
Nauffal Abyan,"Gak jelas ini paket kuota darurat, saya mengambil kuota darurat yang 2gb tapi yang bisa di pakai cuma 1gb dan 1gb lagi tidak bisa di pakai sama sekali ini gimana sih",1,2024-02-02 03:27:53,negatif
Nova Fitriani,sangat membantu,4,2024-02-02 03:10:35,positif
Aldi Ardiansyah,Kok semenjak gua pake im3 susah banget ngakses Internet harus pake login indosat segala lagi padahal sebelumnya gak gitu,1,2024-02-02 03:07:24,negatif
Lisna Sari,"Udh download pas mau log in masuk ga bisa ,ga ada otp nya ga terkirim di sms nya",2,2024-02-02 03:01:28,negatif
Birat Hendri Waskito,m3 jaringan bagus paket promo nya sangat membantu,5,2024-02-02 02:57:48,positif
Grobogan Grobogan,sangat ok sekali,5,2024-02-02 02:42:50,positif
Ade Sistiawanto,Tidak bisa login karena OTP gak masuk,1,2024-02-02 02:34:28,negatif
Bang Yos,Terbaik,5,2024-02-02 02:34:20,positif
Jojo Kiki,harga nya makin sini makin mahal da tidak dapat menukarkan Mpoint,3,2024-02-02 02:33:36,negatif
Hafor Zet,Masih lemot gw pakek wan wan di kata katain gara gara lag bintang 4 dulu bintang 5 kalo udah bisa 5G atau minimal 4G+ lah,4,2024-02-02 02:25:59,positif
Niyat insun,Mahal sekarang cumak awal dulu murah semakin lama semakin mahal data habis belum sempat daftar paket pulsa hilang dulu saodaraku saya suruh pakek IM3 semua .sekarang mahal pulsa habis sendiri mau ganti kartu ajalah .,1,2024-02-02 02:21:48,negatif
Ardan Putra prinorma,"Impoin ga pernah masuk ke akun, padahal udah 2x24jam dan 2 kali",4,2024-02-02 02:20:18,positif
Uwunk Sick,mantap,5,2024-02-02 02:19:59,positif
Vinno Valentino,oke,5,2024-02-02 02:18:00,positif
panggabean Monalisa,makin bagus jaringannya,5,2024-02-02 02:13:13,positif
Adriansyach Aprilio,Proses nya lama sekali beda dengan kalo pakai kode USSD,1,2024-02-02 02:06:17,negatif
AGUS NURJAMAN,semoga lebih sukses lagi,5,2024-02-02 02:04:36,positif
a y putro,Sampai saat ini masih TOP ⭐⭐⭐⭐,5,2024-02-02 01:47:32,positif
Wastam Ganteng,Uuh ke potong Mulu pls gw Males gw pake kartu Indosat lebih baik Telkomsel sekalian udh ke tahun kaga di Potong pls gw,1,2024-02-02 01:46:59,negatif
Msdalifah mw,Wahh harga Kouta Indosat bener² udah diluar nulur wkwkw harga semakin tinggi jumlah Kouta semakin menurun,3,2024-02-02 01:37:30,negatif
Ipul Epul,"Nggak kartunya, aplikasinya, dan layanannya semuanya NGGAK NIAT JANGAN DI INSTAL/DOWNLOAD apk ga ada gunanya layanan ga nyambung terus mau ajukan keluhan di suruh isi udah malah ga bisa bisa dan kartu nya nyedot pulsa #JANGANPAKEMYM3",1,2024-02-02 01:33:59,negatif
Nurul Dina,baie goed,5,2024-02-02 01:33:17,positif
Deril Ramadhani,oke,5,2024-02-02 01:29:23,positif
Rotan Daveto Putra,Indoset babikk...mentang² batas hari pengen abis jaringan langsung ilang²an..bngst udah sering banget ngalamin kejadian yg kaya gini,1,2024-02-02 01:27:29,negatif
Abhi Rama,uhuy,4,2024-02-02 01:26:20,positif
Najib Maulan,"Paket internet (kuota) indosat sekrang mahal-mahal, semakin kesini, semakin mahal",1,2024-02-02 01:20:32,negatif
Noer Hanipah,𝒊𝒎𝟑 𝒕𝒉𝒆 𝒃𝒆𝒔𝒕 𝒑𝒐𝒌𝒐𝒆,5,2024-02-02 01:18:13,positif
Langgeng21 Sinareng bagja,Kenapa gua paketin nelpon 5000 gagal mulu sedangkan gua lg butuh parah banget nih indosat sekrang Dan kenapa setiap isi pulsa Selalu di ambil sama oprator Gua pake indosat dari taun 2012 Jangan sampe gua ganti kartu ni Gara gara indosat potong pulsa tanpa sebab,1,2024-02-02 01:14:31,negatif
Wahyu Pratama,jaringan masih kurang stabil mohon diperbaiki lagi,4,2024-02-02 01:06:25,positif
Nanda lismana,bagus,5,2024-02-02 01:03:35,positif
Willy Yanhamisa,Harga naik jumlah paketan malah turun,2,2024-02-02 01:03:24,negatif
Nabila Amelia,jujur apl ini sangat bagus 😎👍,5,2024-02-02 01:03:09,positif
Rinjani Putri Adara,mantap,5,2024-02-02 01:02:05,positif
Stefanie Rufus,jaringan cukup stabil walaupun hujan,4,2024-02-02 01:02:04,positif
Bil Holy,nyedot pulsa,1,2024-02-02 01:00:16,negatif
rani ag,bagus,5,2024-02-02 00:57:05,positif
Kosim Phone,sangat baik terimakasih untuk layanan lm3,5,2024-02-02 00:49:41,positif
Muhammad Reno saputra,Sangat baik aplikasi my m3 ini aku sampek di kasih kuota gratis 100 GB dan dikasih uwag tunai 10.000.000 juta kamu kapan mau donlowad may m3 sekarag bakso tanpa tepung ...... Bokep,5,2024-02-02 00:41:03,positif
Adi FRLUBNQS,keren,5,2024-02-02 00:40:29,positif
Agung Setiajii,semoga dapat kuota gratis,5,2024-02-02 00:32:51,positif
Elfa tulong,baik,5,2024-02-02 00:26:16,positif
Alfii Wardana,Mendingan,4,2024-02-02 00:18:13,positif
Viky Lendeon,"Operator TERBURUK saat ini....susah login aplikasi, jaringan jelek....pkoknya smua yg terburuk ada di INDOSAT",1,2024-02-02 00:12:13,negatif
Ochiem Redeye,Semoga tidak ada pencurian pulsa lagi.,4,2024-02-02 00:08:56,positif
ZR SEMAT Eno,Paket nya mahal²,2,2024-02-02 00:04:23,negatif
Dede Ridwan,bagus cepat jaringan selalu terjaga bagus,5,2024-02-02 00:03:41,positif
Apri Yadi,"dua kali pulsa raib setelah make pinjam pulsa , begitu isi ulang lngsung kepotong dan masih ada sisa kok masih ilang sdang kn sudah ada laporan pemotongan pulsa, gak jelas.jdi males make pinjem2 pulsa lgi jadi nya gaje",1,2024-02-01 23:58:15,negatif
Efri Ramadhan Pratama Pratama,yg memuaskan,5,2024-02-01 23:55:31,positif
budiyanto electronik,maaf bintang 1 dulu karena signal jelek di daerah saya hnya 1bar sering di silang x malahan .. nanti klo signal udh bagus di rubah ratingnya trims 🙏,1,2024-02-01 23:52:47,negatif
Zaharudin Din,aku ksh bintang lima,5,2024-02-01 23:45:41,positif
Mahendra Pratama,"Pemberian harga kuota kalian sangat jahat, 100rb dpt 50gb, 50rb masak 12gb, Strategi bisnis kalian itu jahat",1,2024-02-01 23:43:36,negatif
M.wildan m,terbaik,5,2024-02-01 23:39:33,positif
Nuaiman Names,edset,5,2024-02-01 23:32:54,positif
Syifa Maharani,puas pokonamah,5,2024-02-01 23:26:49,positif
20_Ida Bagus Ade Artha Yoga,"keliatan ada promo, pas beli pulsa promonya malah hilang. gajelas!!!",1,2024-02-01 23:15:52,negatif
BEATRIX radit,Nah pas,1,2024-02-01 23:11:58,negatif
Fadil Hidayat,"Customer service nya gak memberikan kemudahan apapun, setiap ada keluhan jawabannya gak niat, pulsa kepotong yang disalahin malah pengguna, lagian ribet banget setiap beli pulsa harus matiin data dan ganti 2g sedangkan kalau pakai 2g aja aplikasi nya gak kebuka saran nya gak berguna sama sekali, bukannya bertanggungjawab malah nyalahin customer apa boleh se nyalahin orang begitu?!",1,2024-02-01 23:11:48,negatif
Yek Yok,Woii bodoh sinyal jangan goib,1,2024-02-01 23:03:55,negatif
Ayu Nurfajriah,ok,5,2024-02-01 23:02:23,positif
Nadya Pithazmi,"Saya membeli paket, tetapi pembelian gagal Sedangkan pulsa saya habis 100.000 Sudah membuat keluhan, tetapi belum di tanggapi Saya rugi",1,2024-02-01 23:01:31,negatif
Adly Affan,bagus,4,2024-02-01 22:55:54,positif
TRUE SIAGIAN,Saya beli kuota 20 G masa berlaku 60 hari seharga Rp.50.000 dari malam tgl 01 Februari 2024 sampai tgl 2 Februari 2024 jam 05.00 masih diproses terus.,1,2024-02-01 22:52:40,negatif
Sity Adet,👍👍,5,2024-02-01 22:49:45,positif
zell new,Good,5,2024-02-01 22:45:24,positif
Afnan Fatir,"im3 jangkau nya merakyat, hampir tiap tempat ada. Tapi sayang cuman kurang kuat aja sinyal. Semoga kedepannya makin stabil, jaya selalu.",4,2024-02-01 22:44:52,positif
Wiwin Yustika,🤝,5,2024-02-01 22:44:25,positif
Rusdy Salma,good,5,2024-02-01 22:36:52,positif
ards GOOD,Aplikasinya berguna untuk membeli kuota dan bisa juga untuk mendapatkan nya secara gratis dan bagus juga,5,2024-02-01 22:35:49,positif
Marwan Haidir,mantap,5,2024-02-01 22:25:59,positif
Mansur Mancuy,Sya senang sekali,5,2024-02-01 22:20:04,positif
Arini Syahadah,"Cobalah im3 itu evaluasi. Banyak ulasan yang buruk terkait sinyal/jaringan yang sering low atau tiba-tiba hilang. Jika ajukan komplain selalu jawabnya tim kami sedang berusaha mengoptimalkan, memperbaiki jaringan, dsb. komplain yg kedua, paket data yang semakin mahal. Setiap bulan pasti naik harganya. Walaupun beli lewat aplikasi, hot promo pun tetap ada kenaikan harga paket data setiap bulannya.",1,2024-02-01 22:16:16,negatif
Selvi syaqila,terlalu buruk tolong di perbaiki jaringan,1,2024-02-01 22:11:20,negatif
ari ndot,bagus,5,2024-02-01 21:37:04,positif
junior master 651,"Pulsa kesedot melulu Gk jelas kepake buat apa,, Gk ada notif G ada langganan apa2 Coba bikin fitur riwayat pemakaian pulsa Itu habis buat apa, tiba2 pulsa berkurang dan g bisa di cek karna apa",1,2024-02-01 21:33:26,negatif
Iwan Ekairawan,Mau tanya Apa bisa kirim kuota ke nomor buka myIM3? 😀🙏,4,2024-02-01 21:14:31,positif
Guna an,sangat senang,5,2024-02-01 20:55:05,positif
DD Gemesh,"jaringan lemot di tangerang kota ga sesuai sama harga kuota yg mahal, not recomen buat game² grafik tinggi ...",1,2024-02-01 20:14:18,negatif
Realme Indo,"Kenapa sekarang jaringan susah banget,apa lagi buat main game sering hilang jaringan terus juga sekarang harganya naik pula",1,2024-02-01 19:37:30,negatif
untung suropati,Saya sudah aktivasi paket vidio tapi mau nonton malah minta beli paket lagi... Payah,1,2024-02-01 19:03:50,negatif
Krisjon Jhon,bagus,5,2024-02-01 18:58:03,positif
Dimas Aditiya,"Indosat ni kenapa Lohh udah seminggu ga bagus"" Singal kenapaaa Cok,Capekk ak Lamaa"" tolonglah di benerin bukan malah bonus yg di banyakin sinyal tuh hah bagusin",1,2024-02-01 18:28:39,negatif
Irfan Abdillah,good,5,2024-02-01 18:25:29,positif
Salfa Aja,bagus,5,2024-02-01 18:17:22,positif
Lusi Silviani,bagus,5,2024-02-01 18:17:16,positif
umar diaz prasetya,"Di suruh restart juga percuma kalo sinyal lemot kaya gini udah kaya plosok,rekomendasi kartu lain dong bosen kartu mahal sinyal lemot, harga doang naik sinyal ga di benerin lawak,harga naik sinyal lemot paketan boros nyesel beli nih kartu",1,2024-02-01 18:10:29,negatif
Я Юбовь,"Hapus aja fitur Indira ga guna, gmn caranya batalkan perpanjangan kuota? Kok ga ada opsi itu? Kok maksa otomatis perpanjangan kuota?",1,2024-02-01 18:09:18,negatif
Imang Ruswandi,mantap,5,2024-02-01 18:07:33,positif
cha chiroo,sinyal buruk jaringan terjelek,1,2024-02-01 17:54:47,negatif
Bandnana Official,paket FUN tidak bisa di pakai,1,2024-02-01 17:50:36,negatif
Hendrik Kurniawan,"saat main game sinyal hilang sendiri bikin males aja,bikin males pake indosat lagi bener bener kecewa👊",1,2024-02-01 17:50:26,negatif
Dirga M nur,mantap,5,2024-02-01 17:42:45,positif
Fiema Mahgfiroh,"Gila ya im3 sekarang, masa beli kuota 7gb 6 jam langsung ludes, parah. Udah mana sekarang harganya naik tpi sinyal ga ada peningkatan, boros nya luar biasa, lama-lama pindah provider lain ini mah klo gini terus, perasaan dari dulu make im3 ga kek gini deh, sekarang kok boros bgttt",1,2024-02-01 17:42:34,negatif
Duwan Aja,baik sekali,5,2024-02-01 17:36:29,positif
Gegeh Kristiyanto,Bagus,5,2024-02-01 17:33:15,positif
Sami Yuni,bagus,5,2024-02-01 17:29:44,positif
Rifki Albukhori Pratama,Ko bisa di Indosat ada game kopi kenangan yang isinya scam semua? Tolong saring lagi game nya.,1,2024-02-01 17:23:10,negatif
Adit Sifa,Anjg buat main game burik asuuuuu semoga bangkrut amin mati yang punya saham,1,2024-02-01 17:22:40,negatif
agus azril,paket nya mahal lelet lagi..,1,2024-02-01 17:21:54,negatif
Putra Dewa,Aplikasi tolol,3,2024-02-01 17:20:56,negatif
Andi Ahmad,mantap,5,2024-02-01 17:10:03,positif
Desi apriyanti,Pakai Indosat udh lama tpi makin kesini sinyalnya tambah parah gmana sih percuma beli kuota mending gak ush beli klo bkal jelek Kya gni mah mendeng ganti no klo Kya gni trus nyusahin mau download aja susah,1,2024-02-01 17:07:21,negatif
Karimova Elina,"Makin lama makin ngeselin , drop sinyal terus. Tiap hari makin aneh kaya orang sakit nihh... Udah gua lakuin segala cara tetep aja drop terus.. udah 5 hari kaya gini terus cape gua liatnya... Gimana ini ? Jangan gini terus dong benerin coba itu masalahnya... Jangan sampai orang ganti ke provider lain.",1,2024-02-01 17:04:08,negatif
B Phone,aplikasi nya keren sekali,5,2024-02-01 17:01:35,positif
Amrul Nerazzurra,"Provider paling murahan didunia, sinyal yang amat sangat sangat sangat buruk 👎",1,2024-02-01 16:51:32,negatif
Pengguna Google,"Benar benar provider penipu.....minggu kemarin beli quota 20gb rp 50 ribu dapet nya 12 gb,sekarang beli yg 8 gb harga 25 ribu/14 hari dapetnya 6.5gb untuk 5 hari,isi paket tidak sesuai dengan deskripsi,dasar penipu,bukan hanya penipu tapi juga rampok,harga paket 55 ribu tapi pulsa yang dipotong 60 ribu edan bener...kenapa ga direspon???buka indira aja di app error terus,beli quota aja dipersulit kelihatan kalau niat bener mau potong pulsa pelanggan",1,2024-02-01 16:48:10,negatif
Dian Arok,"Sekarang jaringan Indosat jelek bet.. lama"" ngeselein",1,2024-02-01 16:42:34,negatif
Novalina Kim,Error terus,1,2024-02-01 16:37:43,negatif
Arif Mustaqim,"Ini gimana sih konsepnya im3,isi pulsa dapet bundling kuota 5gb..tapi nyatanya ga ada...dah komplain ke cs katanya 1×24 jam..tapi tetep aja ga da perubahan...nipu y",1,2024-02-01 16:33:03,negatif
CzxoJR SHOP,"jaringan suka mati sendiri, itu ngeganggu pas ngegame banget, saya harap cepat untuk difix.",1,2024-02-01 16:31:44,negatif
Navis Kurtubi,Emang jelek banget ni apk eror terus mau beli paket,1,2024-02-01 16:29:36,negatif
Hebitz Leonhart,Di situ dapat 50% potongan harga tapi malah error pas di beli,1,2024-02-01 16:23:35,negatif
Rangga Rangga,Bagus,5,2024-02-01 16:19:54,positif
bunda gibran,Ik,5,2024-02-01 16:18:42,positif
Aziz Ngejez,baik,5,2024-02-01 16:18:40,positif
Omo Al,Bagus sekali,3,2024-02-01 16:10:33,negatif
Leman Putra,paket terlalu mahal di murahin dong,4,2024-02-01 16:05:02,positif
titin cahyani,baik,3,2024-02-01 16:02:48,negatif
Afip,"Tolong untuk layanan pembayaran nya di permudah,, ini benar2 sangat ribet, pake shopee gak masuk dana gak masuk juga hadeeeee",1,2024-02-01 15:59:11,negatif
Mus Mulyadhi,sinyal selalu jelek,1,2024-02-01 15:56:56,negatif
Jemes Jemes,promo paket internet murah dong,5,2024-02-01 15:42:08,positif
Muhammad Iqsan,"Apasih my im3 sinyal kek t4i ngelag"" paket mahal boros tolong lah di perbaiki",5,2024-02-01 15:39:04,positif
Bombe Penyelamat,"Apk anjingg,apk pencuri uang customer Gw ngisi pulsa 150 k lewat IM3,bayar via bank BCA,di BCA mobile jelas""brhsil Malah di IM3 anjinkk gagal,uang gak kembali pulsa gak dapatt Emang aplikasi haramm babi pencurii",1,2024-02-01 15:31:43,negatif
Rizky,bgus,5,2024-02-01 15:29:44,positif
Egi Winda,saya sangat suka dengan aplikasi ini sangat membantu,5,2024-02-01 15:28:13,positif
Har Tzy,Makin lama makin buruk ni sinyal mana kouta masih banyak tolong lah admin perbaiki sinyalnya,1,2024-02-01 15:22:28,negatif
agus nuradiana,Puas,5,2024-02-01 15:19:03,positif
Ferry Prtama Goesdi,"Aplikasi eror , sinyal im3 selalu rusak deket lebaran. Kouta mahal dan kecepatan tidak maksimall. 555",2,2024-02-01 15:12:34,negatif
Tino Prasetyaa,Jaringan indosat makin lol,1,2024-02-01 15:09:54,negatif
Akbar Ramadhan,Sampah,1,2024-02-01 15:03:30,negatif
Rifaldi Pratama,Kok makin kesini makin lelet sering hilang2 sinyal,2,2024-02-01 14:59:29,negatif
Pelor Pelor,baguss,4,2024-02-01 14:53:46,positif
Bang Dhi,"Woi min untuk apk gak usah di update gak guna sumpah gak guna,, dari pada lu update apk enak lu benerin lagi dari masalah jaringan yang tiba tiba hilang,,akses jaringan lambat/data lemot, lu benerin lagi server maintenance nya dari pada lu update apk gak guna bagi kami,, yang berguna itu jaringan lancar gak sering gangguan,, klo jaringan lu bagus udah pasti lu dapat bintang lima tapi lu klo jaringan lu buruk sering gangguan walau pun lu update apk lu cuma dapet respon negatif, paham kagak woii",1,2024-02-01 14:52:52,negatif
yuli Lab,Terlalu banyak pesan sampah yang masuk,1,2024-02-01 14:49:15,negatif
Areta Sulistianto,Benerin sinyal dulu sono,1,2024-02-01 14:48:40,negatif
Jalmi Hina,Kenapa sinyal indosat makin kesini makin ancur ....harga paket kuota mahal sinyal ancur ..🖕🖕,1,2024-02-01 14:48:28,negatif
Aras nur khalifah Arasnk,Aplikasi nya kyk taii loginn bae lamaaa bangettt jdi kesell nungguin nya udh lah hapus aja hapus mening pindahhhh aplikasi ke AXIS atau Telkomsel.,1,2024-02-01 14:47:40,negatif
Tami Mukri,Bagus,5,2024-02-01 14:44:20,positif
AG Reborn,sinyal im3 skrng sering gangguan. udah males pake im3 lagi ga kayak dulu. udah berapa bulan sinyal im3 lemot,1,2024-02-01 14:44:18,negatif
Arel Yusuf,Sinya kenapa sudah lima hari lemot banget enaknya gimana nih sat mending pindah kartu aja?,1,2024-02-01 14:41:59,negatif
Istiqomah Nurfadilah,bagussss bangettt,5,2024-02-01 14:41:29,positif
Dian Angga Sasmitha,Layanannnya sangat ramah,3,2024-02-01 14:40:23,negatif
Rama Sipuden,Maaf pihak mym3 saya telah melakukan pembelian diamond di apk ini 3 kali dan hanya satu yang baru masuk mohon bantuannya😁terimah kasih,5,2024-02-01 14:40:17,positif
Irsyadfadhli Ali,"Sorry tak kurangi bintangya kerena apa. Sinyal kadang ilang kadang ada kalo udah BNR"" setabil kaya dulu fullll bintang makasih",2,2024-02-01 14:39:05,negatif
Muhammad Bagas Dwi andrian,mayan,5,2024-02-01 14:38:03,positif
Ahmad Rendy,Aplikasi sampah,1,2024-02-01 14:37:50,negatif
Jua riya,m.mm,5,2024-02-01 14:22:42,positif
Frendy Rama,Kecewa berat sama fitur pulsa darurat .,1,2024-02-01 14:22:27,negatif
HD Chanel,menguntungkan,5,2024-02-01 14:19:43,positif
Mhmmd Riki,Kenapa saya gk bisa masuk ke akun saya ya?? Kode Verifikasi juga gk ada,1,2024-02-01 14:17:41,negatif
Mas Berto,"im3 skrang jauh lebih baik daripada im3 sblmnya, selain paket kuotanya murah kualitas jaringannya juga bagus.",5,2024-02-01 14:15:54,positif
Agu Andika,Saya. Kecewa dengan kualitas sinyal im3.kalau gini terus auto ganti kartu.nyesal pake indosat.tolong perbaiki secepatnya kualitas jaringan im3.kami kecewa,1,2024-02-01 14:13:57,negatif
andika kurniawan,"sinyal 4g jaringan im3 tidak muncul padahal paket data masih banyak internet tidak dapat digunakan. setiap mati lampu sinyal hilang, dan setiap hujan sinyal susah. cust service tidak merespon. hampir 10menit lebih tidak juga disambungkan tidak diangkat.!",1,2024-02-01 14:10:42,negatif
irul st6 gpl,Oke banget,5,2024-02-01 14:10:37,positif
Fajar Wuner,aplikasi yang sangat bagus,5,2024-02-01 14:10:33,positif
ZODIAK VIRGO,TOLONG LAH UNTUK M3 SAYA MASIH ADA PAKET DATA DAN KENAPA PULSA SAYA TERKURAS PADAHAL PAKET DATA MASIH ADA KASIH MODE KUNCI PULSA DONG BIAR PULSA AMAN GAK KE KURAS AXIS AJA ADA MODE KUNCI PULSA -AXIS NO ONEE BROO AXIS TERBAIK GAK KEK M3🤮🤮🤮🤮🤮,1,2024-02-01 14:09:35,negatif
Miftahul Ulum,Kode verivikasinya ga pernah dateng hadehhh,1,2024-02-01 14:07:37,negatif
Muhammad Abdul muis,keren banget,5,2024-02-01 14:06:06,positif
ikom boest,Kenapa g ada promo lagi .,1,2024-02-01 14:04:26,negatif
fahri jal,Kenapa kartu indosat ooredoo skrg terlalu mahal kali yah pdahal aku pelanggan setia im3 selama hampir 4 tahun dan setiap pasang paket freedom internet harganya sangatlah mahal yang biasanya terjangkau skrg harganya sangat mahal...saya kira semakin lama di gunakan smakin paham indosat ooredoo terhadap pelanggan nya ternyata salah...tlong perbaiki paket freedom internet dan tlong berikan kemurahan soal masalah paket freedom internet yang dulunya stiap buat paket psti sllu ada gratis nelpon...,3,2024-02-01 14:03:59,negatif
Kiki Panji,"Plss lah woi Indosat lu knp ngeleg sekarang woi,,,pdhl lu ga pernah ngelag tpi sekarang knp jdi rusak gini jaringannya,,,,kapan kelen benerin jaringannya,,gw tersiksa klo ngeleg' trus,,,klo gini trus bkln bnyk yg ganti kartu ini mah,,,tu liat langsung peringkat 7 begitu peringkat 2",1,2024-02-01 14:03:21,negatif
Antok Antok,sinyalnya buruk banget ya setelah gabung dengan tr3 khususnya cikarang,2,2024-02-01 14:02:50,negatif
culess 01,Sekarang gampang erorr kartunya,1,2024-02-01 14:01:52,negatif
Prasetyo Np03,Jaringannya sangat buruk,1,2024-02-01 14:01:26,negatif
Muhammad Hafid,Minimal ya ad gratisnnya taii!!,4,2024-02-01 14:00:00,positif
fitri yani,Sangat tidak nyaman dengan koneksi sinyal im3 sekarang.koneksi internet yang burik .nyesal kayak nya pake kartu im3.sudah beli paket data tapi kuota gk bisa dipakai karna koneksi buruk.mohon untuk segera diperbaiki .kami pengguna indosat sangat kecewa,1,2024-02-01 13:57:37,negatif
Syaf Rudi,baik sekali.,5,2024-02-01 13:56:29,positif
Agusvnyjlno,"Udah harga paket makin mahal , sinyal gampang ilang , urusin dulu sinyal baru harga klo emg ga niat mending tutup aja dari pada makin bobrok mending bubarin aja tuh pt",1,2024-02-01 13:55:58,negatif
Ahmad Kosasih Mulyadi,mantap,5,2024-02-01 13:51:07,positif
